Hessian ranking (max sum eigenvector components) for model (param idx, rank)
1, 20.11293411980226
742, 13.0266757151097
34, 12.90248379708839
741, 10.736043015942718
3, 10.537578729161769
11, 10.28297123935758
22, 10.054558123751558
9, 9.695599027070088
0, 8.681436797341746
68, 8.613119340785172
870, 6.680308632634362
149, -6.382988699758828
25, 6.20215978020027
737, 6.093729194750805
866, 5.647668775170113
482, 4.892109736444459
36, 4.435054772557812
33, 4.31708812798266
13, 4.244705788038823
789, -4.1653167551256765
44, 4.075257717011503
869, 3.9338437221879334
60, 3.3428894250217853
726, -3.1496077226874837
858, 3.000557277634158
868, 2.5033053928987163
1762, 2.423950016422824
994, 2.36883286636532
1250, 2.3412164714199455
864, 2.328860696419235
1634, 2.2168677900711833
30, 2.1338066453639266
919, 2.0977502593507893
357, 2.08546662580425
276, 2.0598049440239006
1253, 2.0485590494965713
1637, 1.915554707680157
277, -1.8360921265619443
4, 1.7741753468833394
1173, -1.7723368584605161
910, 1.7110021544743272
225, 1.6941288686595415
31, 1.6619861873780402
480, 1.660058718158643
852, 1.650669972751826
1122, 1.6094132741607856
998, 1.5983202460663692
720, 1.5752828457213435
1761, 1.5692540315525778
1121, 1.5458740100675925
372, 1.4937915710867635
887, 1.4842787039756744
389, -1.4690516823840376
997, 1.4607739340681767
358, 1.4462682068855495
52, 1.4247479371143972
911, -1.42113358147134
279, -1.3959342771100858
405, -1.3912340780205987
996, -1.3886993322135517
990, -1.3807984699312
477, -1.380553120641107
661, -1.3678030458809431
354, 1.3622232847913252
932, 1.3596757409742626
404, 1.3447950658358945
20, 1.337194849848946
878, 1.3116321632573005
1765, 1.2453484736964155
906, -1.2182956749083775
275, 1.2070121142729469
1615, 1.202302383720894
485, 1.198472056382426
12, 1.1793669401390288
387, 1.171841042374477
1757, 1.1183406675639094
847, 1.1168770201491707
863, -1.0864786276230434
421, -1.0746318401564583
420, -1.073667087277952
873, 1.0685248440565833
407, 1.0667379515874265
1633, 1.0584547891048608
102, 1.023030249992762
861, -1.011989469241573
905, 1.000212821437091
478, -0.9893046755803032
1629, 0.9115530089297874
1045, -0.9103186612487772
862, -0.8537608522759679
917, -0.8417187787128073
774, 0.8311977991235502
419, -0.8306198802275699
1273, 0.823360347912262
1120, -0.8232430974729397
851, 0.8152137728253298
915, 0.8091646533230226
736, -0.7898651671164427
925, 0.7865217048957216
846, 0.7714628709546061
2, -0.7639339333277922
355, 0.7611644414638505
51, 0.7350165871393373
1171, -0.7252531353550414
209, -0.7163801123523883
1245, 0.7109432271481471
999, 0.7086091066593261
928, -0.6991173440846028
486, 0.6709764824362936
1117, 0.6686175335403555
1636, 0.6679163568586244
857, 0.6675893461023232
735, 0.6489807949874823
1627, 0.6469128130023838
859, -0.6430341155370665
992, 0.6393199719975469
422, -0.6354124047101428
1617, -0.6249220886025462
840, -0.6225417987824317
1113, 0.6210966776819788
986, 0.6184781381872764
883, -0.6136621266112865
1746, -0.6044349704942589
1249, 0.5995335864430009
414, 0.591240659486745
1621, -0.5904523487954595
1685, -0.5821932834849017
28, 0.5821132382753738
356, -0.5631036160306921
1301, -0.5582492172297929
474, 0.5513773084852632
409, 0.5459691676942959
469, -0.5444952734847044
1631, 0.537551960529159
229, 0.5338758296103294
688, -0.5231855664923895
867, -0.49862484388982387
988, 0.4804715767194523
985, -0.4768150306696324
935, 0.4736412849378898
216, 0.46894068437405645
871, -0.4642203665964334
366, 0.43687238048906696
1108, 0.43090959899602155
1628, 0.42505528836309425
437, -0.4240875441708385
150, -0.40854891572776986
991, -0.4011193411796664
42, -0.4004800781663373
1632, -0.39825072887234914
787, -0.39127799764718113
879, -0.3901669887608904
719, -0.3895340387317636
375, 0.38944973654867227
101, 0.3880985096121776
874, -0.3842971192585103
198, -0.3816755758603416
790, 0.3783098824462021
1103, -0.3774524851897523
196, 0.3640706076708602
1172, -0.3609606913483763
182, 0.36007080442465633
32, -0.35390628960528503
1753, 0.35082436783792237
374, -0.34622281585863485
213, -0.3452675754467016
265, -0.3407500085632237
475, -0.3360472214580936
270, 0.33045215036886333
143, -0.3274453472953978
1764, 0.32564988683134644
212, 0.3189883479966891
933, -0.3173264324317152
953, 0.31333970050922577
955, 0.31308819166948004
660, -0.3106745718872318
19, 0.30572991897831314
694, -0.30379644028741093
1086, 0.30181369683857495
473, 0.2980602231254311
1701, 0.29677549173393697
466, -0.29554756088965545
1656, -0.290956191272817
231, 0.28926390768271315
257, 0.2888100569275213
1624, 0.28252259274870073
604, 0.2800706632258056
721, -0.2800309305801988
1620, 0.2790475187265169
1124, 0.2778826702282436
1610, 0.27385816236000926
397, 0.273704195837482
359, -0.273538413029099
457, 0.2711062616949347
271, 0.2697050783704168
390, -0.2693729251364849
687, 0.2679705373871873
768, -0.26698209111755355
93, -0.263601428969664
654, 0.2573334691573062
966, 0.25694679467432646
1668, 0.2555920050358944
423, 0.25432713485605274
1763, 0.2536315891886844
65, 0.2531088414384408
1305, -0.2526528208043479
1756, 0.25205120623327737
1689, 0.25183864712501447
856, 0.2499242365934961
777, 0.24923599992113088
1055, 0.24606859520052726
1623, 0.2387427275821682
27, 0.23746288296141424
1169, 0.2354832220063104
1639, 0.2321790680052646
900, -0.23202253295179603
533, -0.2317836364670256
1091, 0.22696682804486223
97, 0.22384084026151202
788, 0.22155489892671823
349, -0.22018153510660715
517, 0.21638675740735114
613, 0.21633680674910505
842, -0.21615414359368823
406, -0.2160106838833521
1241, 0.21404640800450514
103, 0.2091030720606568
782, -0.2082936531723649
479, -0.20780792921670788
855, -0.20745806992783408
1750, 0.2062072041523853
1657, 0.2058340476808928
49, 0.20555967447309562
183, 0.2054232657809538
145, -0.2052575914305176
609, 0.20501321320617638
215, 0.2030280349777757
377, 0.20061947683839332
1135, -0.19964552882480802
546, -0.19961676319537147
693, 0.19854907186261445
602, 0.19524105949992576
884, -0.19488802764440458
1738, 0.19220497273883383
1669, -0.19111817214353566
394, 0.19077197675048854
1170, 0.18480034641516263
483, 0.18388633441358135
401, 0.1831084275152406
514, 0.18148076862493884
46, 0.1797455390601714
776, 0.17765569113757362
278, 0.17695081489864073
484, -0.17427881376709495
1047, -0.17368604533924925
168, 0.1736224048813234
543, 0.17292635994236774
100, -0.1727559644732622
689, 0.17102270075723033
352, 0.16980310892405617
402, -0.16679586145120273
148, -0.16576925160030165
1129, 0.1641829771086749
144, -0.16377121250713034
918, 0.16339918513339247
171, 0.16169599584124417
1748, 0.1600041904945575
197, -0.15882975574353814
472, 0.1559147099365279
